时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:00,5.11,0.05,2522,1288742,买盘,002083,2025-10-17 22:50:43
09:30:00,5.11,0.0,546,278783,买盘,002083,2025-10-17 22:50:43
09:30:03,5.11,0.0,1567,800358,买盘,002083,2025-10-17 22:50:43
09:30:06,5.12,0.01,703,359297,买盘,002083,2025-10-17 22:50:43
09:30:09,5.11,-0.01,305,155837,卖盘,002083,2025-10-17 22:50:43
09:30:12,5.1,-0.01,705,358859,卖盘,002083,2025-10-17 22:50:43
09:30:15,5.1,0.0,21,10710,买盘,002083,2025-10-17 22:50:43
09:30:18,5.09,-0.01,236,120299,中性盘,002083,2025-10-17 22:50:43
09:30:21,5.09,0.0,563,286064,卖盘,002083,2025-10-17 22:50:43
09:30:24,5.1,0.01,94,47856,买盘,002083,2025-10-17 22:50:43
09:30:27,5.09,-0.01,208,105927,卖盘,002083,2025-10-17 22:50:43
09:30:30,5.08,-0.01,82,41656,卖盘,002083,2025-10-17 22:50:43
09:30:33,5.08,0.0,62,31496,卖盘,002083,2025-10-17 22:50:43
09:30:39,5.09,0.01,181,91960,买盘,002083,2025-10-17 22:50:43
09:30:42,5.09,0.0,78,39702,买盘,002083,2025-10-17 22:50:43
09:30:54,5.08,-0.01,8,4064,卖盘,002083,2025-10-17 22:50:43
09:30:57,5.09,0.01,84,42756,买盘,002083,2025-10-17 22:50:43
09:31:00,5.08,-0.01,58,29464,卖盘,002083,2025-10-17 22:50:43
09:31:03,5.08,0.0,88,44736,卖盘,002083,2025-10-17 22:50:43
09:31:06,5.09,0.01,2,1018,买盘,002083,2025-10-17 22:50:43
09:31:09,5.08,-0.01,423,214884,卖盘,002083,2025-10-17 22:50:43
09:31:12,5.08,0.0,345,175260,买盘,002083,2025-10-17 22:50:43
09:31:15,5.08,0.0,87,44196,买盘,002083,2025-10-17 22:50:43
09:31:18,5.08,0.0,129,65532,卖盘,002083,2025-10-17 22:50:43
09:31:27,5.07,-0.01,124,62918,卖盘,002083,2025-10-17 22:50:43
09:31:30,5.08,0.01,481,244348,买盘,002083,2025-10-17 22:50:43
09:31:39,5.08,0.0,63,32004,卖盘,002083,2025-10-17 22:50:43
09:31:42,5.08,0.0,5,2540,卖盘,002083,2025-10-17 22:50:43
09:31:51,5.09,0.01,77,39193,买盘,002083,2025-10-17 22:50:43
09:31:54,5.08,-0.01,3,1524,卖盘,002083,2025-10-17 22:50:43
09:31:57,5.08,0.0,15,7620,卖盘,002083,2025-10-17 22:50:43
09:32:00,5.1,0.02,696,354223,买盘,002083,2025-10-17 22:50:43
09:32:03,5.09,-0.01,1349,686108,中性盘,002083,2025-10-17 22:50:43
09:32:09,5.09,0.0,99,50391,卖盘,002083,2025-10-17 22:50:43
09:32:12,5.08,-0.01,1269,644948,卖盘,002083,2025-10-17 22:50:43
09:32:18,5.09,0.01,118,60062,买盘,002083,2025-10-17 22:50:43
09:32:21,5.09,0.0,51,25959,买盘,002083,2025-10-17 22:50:43
09:32:27,5.09,0.0,31,15779,中性盘,002083,2025-10-17 22:50:43
09:32:30,5.09,0.0,44,22396,卖盘,002083,2025-10-17 22:50:43
09:32:39,5.1,0.01,10,5100,买盘,002083,2025-10-17 22:50:43
09:32:45,5.1,0.0,2,1020,买盘,002083,2025-10-17 22:50:43
09:32:48,5.1,0.0,762,388494,买盘,002083,2025-10-17 22:50:43
09:32:51,5.1,0.0,426,217261,买盘,002083,2025-10-17 22:50:43
09:32:54,5.1,0.0,19,9690,中性盘,002083,2025-10-17 22:50:43
09:32:57,5.1,0.0,864,440633,卖盘,002083,2025-10-17 22:50:43
09:33:03,5.1,0.0,10,5100,买盘,002083,2025-10-17 22:50:43
09:33:06,5.1,0.0,13,6638,卖盘,002083,2025-10-17 22:50:43
09:33:09,5.1,0.0,8,4080,买盘,002083,2025-10-17 22:50:43
09:33:12,5.09,-0.01,37,18867,卖盘,002083,2025-10-17 22:50:43
09:33:15,5.1,0.01,7,3570,买盘,002083,2025-10-17 22:50:43
09:33:24,5.1,0.0,20,10200,买盘,002083,2025-10-17 22:50:43
09:33:30,5.09,-0.01,176,89584,卖盘,002083,2025-10-17 22:50:43
09:33:36,5.09,0.0,1,509,卖盘,002083,2025-10-17 22:50:43
09:33:42,5.09,0.0,8,4072,卖盘,002083,2025-10-17 22:50:43
09:33:45,5.1,0.01,22,11220,买盘,002083,2025-10-17 22:50:43
09:33:48,5.09,-0.01,42,21378,卖盘,002083,2025-10-17 22:50:43
09:33:51,5.1,0.01,27,13770,买盘,002083,2025-10-17 22:50:43
09:33:54,5.09,-0.01,16,8144,卖盘,002083,2025-10-17 22:50:43
09:34:03,5.09,0.0,17,8653,卖盘,002083,2025-10-17 22:50:43
09:34:09,5.09,0.0,7,3563,卖盘,002083,2025-10-17 22:50:43
09:34:12,5.09,0.0,516,262644,卖盘,002083,2025-10-17 22:50:43
09:34:15,5.09,0.0,43,21887,卖盘,002083,2025-10-17 22:50:43
09:34:18,5.09,0.0,2,1018,卖盘,002083,2025-10-17 22:50:43
09:34:21,5.09,0.0,7,3563,卖盘,002083,2025-10-17 22:50:43
09:34:27,5.1,0.01,59,30090,买盘,002083,2025-10-17 22:50:43
09:34:30,5.1,0.0,100,51000,买盘,002083,2025-10-17 22:50:43
09:34:39,5.1,0.0,1,510,买盘,002083,2025-10-17 22:50:43
09:34:42,5.1,0.0,4,2040,买盘,002083,2025-10-17 22:50:43
09:34:51,5.1,0.0,90,45900,买盘,002083,2025-10-17 22:50:43
09:34:57,5.1,0.0,4,2040,买盘,002083,2025-10-17 22:50:43
09:35:00,5.09,-0.01,13,6617,卖盘,002083,2025-10-17 22:50:43
09:35:03,5.09,0.0,283,144047,卖盘,002083,2025-10-17 22:50:43
09:35:06,5.09,0.0,41,20869,买盘,002083,2025-10-17 22:50:43
09:35:09,5.09,0.0,25,12725,买盘,002083,2025-10-17 22:50:43
09:35:12,5.08,-0.01,21,10688,卖盘,002083,2025-10-17 22:50:43
09:35:15,5.08,0.0,100,50800,卖盘,002083,2025-10-17 22:50:43
09:35:18,5.14,0.06,8612,4407427,买盘,002083,2025-10-17 22:50:43
09:35:21,5.13,-0.01,180,92376,卖盘,002083,2025-10-17 22:50:43
09:35:24,5.14,0.01,18,9237,买盘,002083,2025-10-17 22:50:43
09:35:27,5.14,0.0,963,494815,买盘,002083,2025-10-17 22:50:43
09:35:30,5.14,0.0,184,94527,买盘,002083,2025-10-17 22:50:43
09:35:33,5.14,0.0,305,156722,买盘,002083,2025-10-17 22:50:43
09:35:36,5.14,0.0,57,29298,买盘,002083,2025-10-17 22:50:43
09:35:39,5.13,-0.01,40,20520,卖盘,002083,2025-10-17 22:50:43
09:35:42,5.13,0.0,102,52365,卖盘,002083,2025-10-17 22:50:43
09:35:45,5.13,0.0,177,90878,卖盘,002083,2025-10-17 22:50:43
09:35:48,5.13,0.0,362,185706,卖盘,002083,2025-10-17 22:50:43
09:35:51,5.13,0.0,6,3078,买盘,002083,2025-10-17 22:50:43
09:35:54,5.13,0.0,57,29241,买盘,002083,2025-10-17 22:50:43
09:35:57,5.13,0.0,70,35910,买盘,002083,2025-10-17 22:50:43
09:36:00,5.13,0.0,81,41553,买盘,002083,2025-10-17 22:50:43
09:36:03,5.12,-0.01,2,1024,卖盘,002083,2025-10-17 22:50:43
09:36:06,5.13,0.01,136,69768,买盘,002083,2025-10-17 22:50:43
