Tick数据采集报告 - 20251017
采集时间: 2025-10-17 22:44:54
目标股票数量: 63
==================================================
601212: 4744 条数据, 文件: 601212_20251017_tick.csv
002185: 4367 条数据, 文件: 002185_20251017_tick.csv
000158: 4744 条数据, 文件: 000158_20251017_tick.csv
002208: 3467 条数据, 文件: 002208_20251017_tick.csv
600403: 2593 条数据, 文件: 600403_20251017_tick.csv
603300: 4718 条数据, 文件: 603300_20251017_tick.csv
002320: 4342 条数据, 文件: 002320_20251017_tick.csv
601026: 4741 条数据, 文件: 601026_20251017_tick.csv
002017: 3967 条数据, 文件: 002017_20251017_tick.csv
002490: 4354 条数据, 文件: 002490_20251017_tick.csv
600078: 4586 条数据, 文件: 600078_20251017_tick.csv
601288: 4741 条数据, 文件: 601288_20251017_tick.csv
002759: 4720 条数据, 文件: 002759_20251017_tick.csv
000021: 4744 条数据, 文件: 000021_20251017_tick.csv
002654: 4505 条数据, 文件: 002654_20251017_tick.csv
603162: 2226 条数据, 文件: 603162_20251017_tick.csv
603938: 3784 条数据, 文件: 603938_20251017_tick.csv
002716: 4730 条数据, 文件: 002716_20251017_tick.csv
603933: 1579 条数据, 文件: 603933_20251017_tick.csv
603367: 2885 条数据, 文件: 603367_20251017_tick.csv
002083: 2858 条数据, 文件: 002083_20251017_tick.csv
000969: 4740 条数据, 文件: 000969_20251017_tick.csv
000905: 2616 条数据, 文件: 000905_20251017_tick.csv
000626: 1146 条数据, 文件: 000626_20251017_tick.csv
601956: 3310 条数据, 文件: 601956_20251017_tick.csv
002171: 4737 条数据, 文件: 002171_20251017_tick.csv
600382: 2106 条数据, 文件: 600382_20251017_tick.csv
002004: 3596 条数据, 文件: 002004_20251017_tick.csv
600748: 2613 条数据, 文件: 600748_20251017_tick.csv
002825: 1609 条数据, 文件: 002825_20251017_tick.csv
603042: 1812 条数据, 文件: 603042_20251017_tick.csv
600333: 4306 条数据, 文件: 600333_20251017_tick.csv
000006: 3584 条数据, 文件: 000006_20251017_tick.csv
001282: 2993 条数据, 文件: 001282_20251017_tick.csv
002298: 4733 条数据, 文件: 002298_20251017_tick.csv
603101: 2243 条数据, 文件: 603101_20251017_tick.csv
601727: 4744 条数据, 文件: 601727_20251017_tick.csv
002370: 4714 条数据, 文件: 002370_20251017_tick.csv
603313: 1559 条数据, 文件: 603313_20251017_tick.csv
002678: 2726 条数据, 文件: 002678_20251017_tick.csv
002552: 1383 条数据, 文件: 002552_20251017_tick.csv
605303: 3162 条数据, 文件: 605303_20251017_tick.csv
603011: 4736 条数据, 文件: 603011_20251017_tick.csv
600089: 4742 条数据, 文件: 600089_20251017_tick.csv
002040: 4652 条数据, 文件: 002040_20251017_tick.csv
000572: 4674 条数据, 文件: 000572_20251017_tick.csv
600172: 4688 条数据, 文件: 600172_20251017_tick.csv
002177: 4656 条数据, 文件: 002177_20251017_tick.csv
002571: 4159 条数据, 文件: 002571_20251017_tick.csv
002767: 1746 条数据, 文件: 002767_20251017_tick.csv
002600: 4744 条数据, 文件: 002600_20251017_tick.csv
000625: 4742 条数据, 文件: 000625_20251017_tick.csv
002670: 4716 条数据, 文件: 002670_20251017_tick.csv
601126: 4680 条数据, 文件: 601126_20251017_tick.csv
601611: 4717 条数据, 文件: 601611_20251017_tick.csv
601012: 4744 条数据, 文件: 601012_20251017_tick.csv
002513: 4560 条数据, 文件: 002513_20251017_tick.csv

采集完成统计:
成功采集: 57 只股票
采集失败: 6 只股票
总tick数据量: 214783 条
完成时间: 2025-10-17 23:00:06
